linea,cx,cy,paradero,direccion
3,-39.823237, -73.228443,0,ida
3,-39.822757, -73.228820,0,ida
3,-39.822105, -73.229107,0,ida
3,-39.821547, -73.229362,1,ida
3,-39.820934, -73.229604,0,ida
3,-39.820165, -73.229834,0,ida
3,-39.819607, -73.230147,0,ida
3,-39.819058, -73.230957,1,ida
3,-39.818519, -73.231792,0,ida
3,-39.818117, -73.232430,1,ida
3,-39.817676, -73.233068,0,ida
3,-39.817176, -73.233936,0,ida
3,-39.816893, -73.234547,1,ida
3,-39.816587, -73.235154,0,ida
3,-39.816336, -73.235613,0,ida
3,-39.815829, -73.236068,0,ida
3,-39.815404, -73.236519,0,ida
3,-39.815028, -73.236929,0,ida
3,-39.814547, -73.237415,0,ida
3,-39.813994, -73.238022,0,ida
3,-39.813667, -73.238462,0,ida
3,-39.813329, -73.238757,0,ida
3,-39.813195, -73.239417,1,ida
3,-39.812822, -73.240426,0,ida
3,-39.812560, -73.241344,1,ida
3,-39.813102, -73.241489,0,ida
3,-39.813504, -73.241580,1,ida
3,-39.813475, -73.242126,1,ida
3,-39.813382, -73.242869,0,ida
3,-39.813283, -73.243651,0,ida
3,-39.813178, -73.244242,0,ida
3,-39.813096, -73.244819,1,ida
3,-39.813049, -73.245580,0,ida
3,-39.812929, -73.246234,0,ida
3,-39.812888, -73.246588,0,ida
3,-39.813271, -73.246754,1,ida
3,-39.813609, -73.246840,0,ida
3,-39.814009, -73.246969,1,ida
3,-39.814508, -73.247110,0,ida
3,-39.814449, -73.247844,0,ida
3,-39.814841, -73.247921,0,ida
3,-39.815331, -73.248074,0,ida
3,-39.815890, -73.248227,0,ida
3,-39.816551, -73.248456,0,ida
3,-39.817144, -73.248654,0,ida
3,-39.817708, -73.248794,1,ida
3,-39.818433, -73.248941,0,ida
3,-39.819050, -73.249082,0,ida
3,-39.819697, -73.249216,1,ida
3,-39.820383, -73.249401,0,ida
3,-39.820922, -73.249509,0,ida
3,-39.821348, -73.249611,1,ida
3,-39.821868, -73.249700,0,ida
3,-39.822534, -73.249873,1,ida
3,-39.823107, -73.249943,0,ida
3,-39.823837, -73.250000,0,ida
3,-39.824381, -73.250058,1,ida
3,-39.824842, -73.250179,0,ida
3,-39.825488, -73.250319,0,ida
3,-39.826042, -73.250434,0,ida
3,-39.826669, -73.250555,0,ida
3,-39.827394, -73.250606,1,ida
3,-39.827982, -73.250606,0,ida
3,-39.828849, -73.250683,1,ida
3,-39.829359, -73.250708,0,ida
3,-39.829976, -73.250830,0,ida
3,-39.830549, -73.250963,0,ida
